,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
915,2012,Infiniti,G37, 12995, Brooklyn, NY ,101168,Accident Reported,Sedan,Gray_Engine:_6_Cyl_3.7_L_,3+ Owners,Personal Use,25
916,2015,Infiniti,Q50_Premium, 19888, Westbury, NY ,64153,Minor Damage,Sedan,Gray_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,7
917,2019,Infiniti,QX80_Luxe, 49618, Westbury, NY ,45288,No Accident or Damage Reported,SUV,Black_Engine:_8_Cyl_5.6_L_,2-Owner,Multiple Use,4
918,2017,Infiniti,Q70, 31840, Jersey City, NJ ,47286,Minor Damage,Sedan,Black_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,10
919,2017,Infiniti,Q60_Premium, 31681, Long Island City, NY ,58640,Minor Damage,Coupe,Black_Engine:_6_Cyl_3.0_L_,2-Owner,Personal Use,13
920,2018,Infiniti,Q50_Luxe, 20695, Great Neck, NY ,43809,Minor Damage,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
921,2018,Infiniti,QX80_Base, 53995, Garwood, NJ ,34293,No Accident or Damage Reported,SUV,Blue_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Personal Use,15
922,2009,Infiniti,G37, 5995, Bronx, NY ,108765,Branded Title,Sedan,Black_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,17
923,2015,Infiniti,Q50, 21975, Bay Shore, NY ,95276,Accident/Minor Damage,Sedan,Black_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,8
924,2018,Infiniti,QX60_Base, 34988, Bronx, NY ,39561,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
925,2019,Infiniti,Q50_Luxe, 30379, Englewood, NJ ,28718,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
926,2019,Infiniti,QX50_Essential, 36699, Brooklyn, NY ,38118,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
927,2018,Infiniti,QX60_Base, 34594, Brooklyn, NY ,39152,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
928,2019,Infiniti,QX50_Essential, 35119, Brooklyn, NY ,46455,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,18
929,2019,Infiniti,QX50_Essential, 33997, Brooklyn, NY ,59935,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
930,2019,Infiniti,QX60_Pure, 32995, Jamaica, NY ,33712,Accident/Minor Damage,SUV,Black_Engine:_6_Cyl_3.5_L_,2-Owner,Multiple Use,7
931,2018,Infiniti,Q50_Luxe, 32727, Brooklyn, NY ,40117,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,10
932,2018,Infiniti,QX60_Base, 28995, Great Neck, NY ,36964,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,0
933,2007,Infiniti,G35_Sport, 5995, Bay Shore, NY ,208101,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.5_L_,3+ Owners,Multiple Use,52
934,2012,Infiniti,G37, 16895, Elizabeth, NJ ,99004,Accident Reported,Coupe,Gray_Engine:_6_Cyl_3.7_L_,3+ Owners,Personal Use,11
935,2010,Infiniti,G37, 10995, E Rutherford, NJ ,147434,Damage Reported,Coupe,Blue_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,51
936,2017,Infiniti,QX30_Luxury, 21995, Green Brook, NJ ,69364,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,2-Owner,Multiple Use,11
937,2018,Infiniti,Q50_Luxe, 25990, Valley Stream, NY ,14895,Accident Reported,Sedan,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
